# Profile 2
# x      y
# [m]    [m]
3.1582249e-08   7.8203592e-10
3.1777201e-08   7.7878047e-10
3.1972153e-08   7.7992053e-10
3.2167105e-08   7.6780586e-10
3.2362057e-08   7.7235192e-10
3.2557009e-08   7.6168906e-10
3.2751962e-08   7.6139913e-10
3.2946914e-08   7.4470336e-10
3.3141866e-08   7.396625e-10
3.3336818e-08   7.1901177e-10
3.353177e-08   7.1587572e-10
3.3726722e-08   7.0816039e-10
3.3921674e-08   6.9168716e-10
3.4116627e-08   6.6517249e-10
3.4311579e-08   6.4568676e-10
3.4506531e-08   6.1972853e-10
3.4701483e-08   5.99827e-10
3.4896435e-08   5.9152565e-10
3.5091387e-08   5.806517e-10
3.528634e-08   5.7443955e-10
3.5481292e-08   5.8093307e-10
3.5676244e-08   5.754435e-10
3.5871196e-08   5.7762083e-10
3.6066148e-08   5.7962489e-10
3.62611e-08   5.6919335e-10
3.6456052e-08   5.6734406e-10
3.6651005e-08   5.7277649e-10
3.6845957e-08   5.8249991e-10
3.7040909e-08   5.8482047e-10
3.7235861e-08   5.8377556e-10
3.7430813e-08   5.9073062e-10
3.7625765e-08   5.8523446e-10
3.7820718e-08   5.9432143e-10
3.801567e-08   6.0540214e-10
3.8210622e-08   5.9622826e-10
3.8405574e-08   5.9182529e-10
3.8600526e-08   6.0488295e-10
3.8795478e-08   5.9594801e-10
3.899043e-08   5.9197698e-10
3.9185383e-08   5.8997039e-10
3.9380335e-08   6.0221055e-10
3.9575287e-08   5.94466e-10
3.9770239e-08   5.901922e-10
3.9965191e-08   5.8140027e-10
4.0160143e-08   5.813202e-10
4.0355096e-08   5.7495222e-10
4.0550048e-08   5.8196689e-10
4.0745e-08   5.7932528e-10
4.0939952e-08   5.855466e-10
4.1134904e-08   5.9128316e-10
4.1329856e-08   5.9533826e-10
4.1524808e-08   5.9910625e-10
4.1719761e-08   6.1567603e-10
4.1914713e-08   6.0405299e-10
4.2109665e-08   6.0488633e-10
